Date,Average Power,Maximum Power,Minimum Power,Total Energy Consumed
2019/08/06,9846.726608452673,15639.56,6606.06,28191178.280000027
2019/08/07,9805.112538354255,14805.43,5269.71,28121062.759999942
2019/08/08,9850.553822811302,15392.16,5672.22,28241537.810000025
2019/08/09,9533.964139972144,14312.2,5626.94,27381545.00999994
2019/08/10,8547.800790405034,12472.27,3452.6,21737057.410000067
2019/08/11,7947.4720283286115,13241.06,5256.34,14027288.13
2019/08/12,8583.491370344344,12239.81,0.0,24428616.440000024
2019/08/13,8635.903743036211,11970.98,5501.85,24802315.549999997
2019/08/14,8227.411638201465,11211.64,5734.7,23604443.990000054
2019/08/15,8543.164670157068,11142.17,5951.41,24476166.779999927
2019/08/16,9653.480865419875,18637.7,5884.38,26325042.319999985
2019/08/17,9026.896303135889,12670.34,5729.67,25907192.38999997
2019/08/18,8585.36741339492,12046.72,5691.97,22304784.54000002
2019/08/19,10517.469491466387,17170.94,6184.23,30195654.910000045
2019/08/20,10241.67831118881,16444.08,6045.61,29291199.97000007
2019/08/21,9859.512336350976,16833.17,5363.33,28316519.429999944
2019/08/22,9657.605290636964,14556.93,6302.06,27746299.999999948
2019/08/23,9715.225036906855,16220.49,0.0,27639815.229999963
2019/08/24,8795.641100358422,12863.74,-1.49,24539838.669999998
2019/08/25,9087.722692979392,12807.03,5477.29,26018150.069999978
2019/08/26,10147.213086850366,16067.12,0.0,29092059.919999953
2019/08/27,10061.98584175671,16621.52,5838.16,28867837.37999997
2019/08/28,9983.45770354906,15906.15,0.0,28692457.440000076
2019/08/29,9194.869423681454,14207.31,4970.99,26324911.16
2019/08/30,9679.898640028041,16009.71,5889.7,27616750.81999999
2019/08/31,8890.739406809407,13102.25,5747.47,25329716.56999995
2019/09/01,8946.908277087034,12481.04,6565.81,25185546.80000003
2019/09/02,9805.620597595476,17008.6,5825.04,27730295.049999982
2019/09/03,10198.751981856245,16246.38,4999.29,29229623.179999992
2019/09/04,10290.389499650104,17147.71,5725.46,29409933.18999998
2019/09/05,10476.198905211613,17220.12,5950.97,29951452.669999987
2019/09/06,10702.723984620761,16938.96,5395.66,30620493.320000034
2019/09/07,9616.855027874564,14722.57,0.0,27600373.929999962
2019/09/08,9652.143826086956,13236.58,6482.11,27749913.499999974
2019/09/09,9645.24402506964,13431.2,6567.85,27701140.83999998
2019/09/10,8996.70558041958,12607.39,5854.31,25730577.96000006
2019/09/11,11154.934653189262,17468.89,7432.66,32003507.520000044
2019/09/12,11113.436090750438,16768.18,6260.91,31839994.400000006
2019/09/13,10412.248258446534,16728.42,4957.49,29893564.75000003
2019/09/14,9001.232233820458,12823.68,5724.56,25869541.440000027
2019/09/15,9068.770048780487,12599.44,5881.72,26027370.039999925
2019/09/16,10525.10125,17760.43,0.0,29891287.54999998
2019/09/17,10261.821887648292,15321.84,5709.23,29410381.529999997
2019/09/18,10061.44540229885,16648.36,0.0,28886409.749999978
2019/09/19,10993.647296542089,17546.05,6297.03,31474812.21
2019/09/20,11009.38855691769,17832.86,6307.55,31431804.330000006
2019/09/21,9483.251802649931,13359.44,5721.38,27197966.16999996
2019/09/22,9657.954287208086,13763.34,6347.4,27708670.850000095
2019/09/23,11141.283904562872,17644.26,5977.51,31986626.09000008
2019/09/24,10561.374178583887,17311.18,6132.82,30279459.770000044
2019/09/25,10476.948869504537,17897.57,5860.51,30026935.459999993
2019/09/26,10006.554068387997,16717.07,5631.94,28678783.959999982
2019/09/27,9565.215211267605,17183.06,5541.74,27165211.200000037
2019/09/28,9015.785368494586,13759.71,5414.45,25812193.50999993
2019/09/29,8934.194545770972,12778.51,5758.31,25667940.930000015
2019/09/30,10787.165305263157,17077.32,6266.9,30743421.12000003
2019/10/01,10654.169104529616,16209.3,5244.3,30577465.330000006
2019/10/02,10146.373841059603,16244.28,6948.49,29109946.549999982
2019/10/03,9614.793402097903,15518.98,0.0,27498309.129999988
2019/10/04,9727.222418004189,15053.89,5558.39,27878219.450000096
2019/10/05,8566.136308510639,13531.64,5523.3,24156504.39000001
2019/10/06,7802.214176552686,11589.97,4668.89,22361145.82999996
2019/10/07,10094.417812608846,15352.02,6729.03,28981073.539999995
2019/10/08,10655.092191582002,19198.61,6243.9,29365434.079999946
2019/10/09,10516.924241896131,16762.09,5877.08,30173055.650000036
2019/10/10,10215.620198537097,17192.78,6286.78,29329045.58999996
2019/10/11,10729.318062283737,17421.48,5552.59,21705410.440000013
2019/10/12,8651.876833510827,12520.03,6094.18,24372337.039999966
2019/10/13,8363.542258517737,11899.55,5692.35,23811004.81000007
2019/10/14,10148.06153899965,16564.51,6965.6,29013307.940000013
2019/10/15,9606.236329246934,15921.45,5142.59,27425804.71999997
2019/10/16,9764.581137158853,16481.28,6008.63,27907172.890000004
2019/10/17,10143.919068953446,17746.96,4926.85,28981176.780000035
2019/10/18,10614.243837290504,17195.49,4960.34,30399194.34999998
2019/10/19,9221.46524584365,12626.37,5340.48,26069082.250000022
2019/10/20,9570.894674329502,12355.27,1887.18,27478038.61000004
2019/10/21,10786.772335893857,17268.52,5235.76,30893315.969999988
2019/10/22,10099.197246935202,17327.74,4843.98,28833208.140000094
2019/10/23,10357.05429664723,17541.83,6076.3,28419756.990000054
2019/10/24,10289.241136773728,16532.54,5742.88,28511487.189999927
2019/10/25,9894.309674938833,17690.81,6540.02,28307619.980000034
2019/10/26,8768.627753521127,14862.35,5187.01,24902902.819999944
2019/10/27,8253.340585937498,13540.32,4762.48,23241407.089999966
2019/10/28,9899.99893422441,16989.36,5262.93,28145696.969999917
2019/10/29,9563.1992286115,15943.93,6199.66,27274244.2
2019/10/30,9700.922962962963,10101.64,9229.04,523849.83999999997
2019/11/07,7602.961666666667,8325.25,7020.08,45617.770000000004
2019/11/08,9347.91675879397,14790.14,6509.19,3720470.8700000024
2019/11/09,7038.241914893616,7840.94,5853.07,661594.7399999999
2019/11/10,7100.314440433213,8029.1,4542.22,1966787.0999999994
2019/11/19,7927.632548387096,11513.42,1.08,2457566.0900000003
