Date,Month,Power
2020/1/1,1,6890.689592334484
2020/1/10,1,0.0
2020/1/11,1,0.0
2020/1/12,1,5001.519697391309
2020/1/13,1,2954.86481644641
2020/1/14,1,0.0
2020/1/15,1,0.0
2020/1/16,1,0.0
2020/1/17,1,3379.5921910112347
2020/1/18,1,6891.813247476494
2020/1/19,1,6599.915466898958
2020/1/2,1,6999.609219240164
2020/1/20,1,7301.557815275356
2020/1/21,1,6978.721104166789
2020/1/22,1,7505.511253907627
2020/1/23,1,2698.7781675938463
2020/1/24,1,0.0
2020/1/25,1,419.1055833333337
2020/1/26,1,6939.474927083619
2020/1/27,1,6939.640000000284
2020/1/28,1,2962.569485217391
2020/1/29,1,7890.908721699762
2020/1/3,1,7012.626476955304
2020/1/30,1,7497.068430415056
2020/1/31,1,7729.332068965519
2020/1/4,1,6806.164682310547
2020/1/5,1,7313.41000000013
2020/1/6,1,4046.855533472867
2020/1/7,1,0.0
2020/1/8,1,0.0
2020/1/9,1,0.0
2020/2/1,2,7205.266802507828
2020/2/10,2,7907.219167537427
2020/2/11,2,8247.937874043148
2020/2/12,2,8174.674415765586
2020/2/13,2,8259.127035876008
2020/2/14,2,8347.901913043488
2020/2/15,2,7861.53259839776
2020/2/16,2,7876.008508191007
2020/2/17,2,8919.597543493366
2020/2/18,2,9364.633049077605
2020/2/19,2,9554.733637312911
2020/2/2,2,6872.318075852466
2020/2/20,2,9135.003849404526
2020/2/21,2,8348.86085365854
2020/2/22,2,7475.82956128134
2020/2/23,2,7206.846445993038
2020/2/24,2,9009.691881533117
2020/2/25,2,8893.599870764914
2020/2/26,2,8711.465496156534
2020/2/27,2,8397.164194222065
2020/2/28,2,8726.249885137517
2020/2/29,2,7424.277127919121
2020/2/3,2,7588.579972154534
2020/2/4,2,8093.2493423799515
2020/2/5,2,7005.001794425085
2020/2/6,2,7770.774696441045
2020/2/7,2,7741.2185405028
2020/2/8,2,7133.960048797477
2020/2/9,2,7070.91623002084
2020/3/1,3,7316.6023224234
2020/3/10,3,8968.358363001744
2020/3/11,3,8580.511874999991
2020/3/12,3,8756.06102823284
2020/3/13,3,7180.223508527412
2020/3/14,3,7161.852125217315
2020/3/15,3,3313.0460889198735
2020/3/16,3,101.32592747559275
2020/3/17,3,9355.749452823573
2020/3/18,3,9533.804146341465
2020/3/19,3,10010.357288014404
2020/3/2,3,9027.59175340555
2020/3/20,3,9584.003694444431
2020/3/21,3,8327.061225694437
2020/3/22,3,8230.204883640146
2020/3/23,3,8500.73219173325
2020/3/24,3,8694.739565972232
2020/3/25,3,8149.178336805544
2020/3/26,3,7789.956722807028
2020/3/27,3,8012.980868055552
2020/3/28,3,7790.9674374999995
2020/3/29,3,7884.081309482447
2020/3/3,3,8812.785831300105
2020/3/30,3,8698.665297184541
2020/3/31,3,8726.274600694447
2020/3/4,3,8732.615769096594
2020/3/5,3,8902.315677936554
2020/3/6,3,8430.589316120017
2020/3/7,3,7790.588659937353
2020/3/8,3,7598.11853064068
2020/3/9,3,9131.12506302521
2020/4/1,4,8784.54042708334
2020/4/10,4,9702.82938151494
2020/4/11,4,9537.722645116444
2020/4/12,4,9796.31045201668
2020/4/13,4,9474.477291086341
2020/4/14,4,10099.46851078637
2020/4/15,4,9586.722553856836
2020/4/16,4,9586.325363478265
2020/4/17,4,9816.654025026062
2020/4/18,4,10267.275760945078
2020/4/19,4,9702.453602225318
2020/4/2,4,8875.064050359717
2020/4/20,4,9885.110271777008
2020/4/21,4,10045.484780793291
2020/4/22,4,10741.208710910363
2020/4/23,4,10640.050677553858
2020/4/24,4,10428.58913709116
2020/4/25,4,10346.087806743131
2020/4/26,4,9330.388244089025
2020/4/27,4,10466.164659485754
2020/4/28,4,10161.806922809454
2020/4/29,4,9919.99303093499
2020/4/3,4,9366.180868055568
2020/4/30,4,9880.552649513218
2020/4/4,4,8897.372916666644
2020/4/5,4,8816.384447916658
2020/4/6,4,9756.958722222236
2020/4/7,4,10196.842360097324
2020/4/8,4,9661.710553043471
2020/4/9,4,9625.188585331953
2020/5/1,5,9338.691254343305
2020/5/2,5,10135.699072272431
2020/5/3,5,9609.12302155774
2020/5/4,5,10593.51037464984
2020/5/5,5,9979.425267546896
2020/5/6,5,10411.699113043493
2020/5/7,5,10438.527942328217
2020/5/8,5,10375.723709116211
2020/5/9,5,10117.249323922711
