Date,Average Power,Maximum Power,Minimum Power,Total Energy Consumed
6/13/2019,10796.43545,17992.79,6010.33,30985769.73
6/14/2019,10907.21702,17213.91,5998.19,31325527.28
6/15/2019,9604.417714,13632.74,7312.88,27516656.75
6/16/2019,9676.34178,13252.43,6989.28,27780777.25
6/17/2019,11179.64571,17072.05,6895.27,32141481.43
6/18/2019,10930.81142,16455.98,0.0,31283982.27
6/19/2019,10588.60979,19295.18,5097.46,29330449.12
6/20/2019,10285.17397,16782.42,5646.24,28819057.45
6/21/2019,10457.5449,17351.98,0.0,30002696.32
6/22/2019,9041.136362,12556.47,5882.64,25948061.36
6/23/2019,9431.765217,12362.49,5979.54,26993712.05
6/24/2019,11329.30296,18030.55,0.0,32220537.62
6/25/2019,10996.51986,18069.6,0.0,31483036.37
6/26/2019,10948.69696,17085.6,5936.17,31357068.08
6/27/2019,10704.18076,17116.4,0.0,30474802.63
6/28/2019,10511.64165,16799.86,0.0,29979201.99
6/29/2019,9118.885474,13028.88,5236.94,26089131.34
6/30/2019,9791.29627,13499.61,5799.3,28091229.0
7/1/2019,10895.27589,16099.72,0.0,29689626.79
7/2/2019,11150.61901,16500.63,4978.78,31846167.88
7/3/2019,10977.57592,17377.14,6431.13,31516620.48
7/4/2019,10428.58574,16294.66,0.0,29763183.7
7/5/2019,10810.17517,16478.12,5593.47,31046823.09
7/6/2019,9302.095911,12663.9,5970.58,26706317.36
7/7/2019,9517.653346,13560.97,5725.71,27363253.37
7/8/2019,11579.96017,17287.18,7548.63,33222905.74
7/9/2019,10955.53334,16048.38,0.0,31442380.7
7/10/2019,10283.6775,16087.67,7343.84,29545005.45
7/11/2019,10505.96376,16899.63,5816.48,30194139.84
7/12/2019,10650.85442,16439.72,5583.65,30578603.04
7/13/2019,9043.075921,13254.87,5789.69,25962670.97
7/14/2019,9022.005725,12749.5,5671.36,25938266.46
7/15/2019,10888.04473,16085.89,5622.58,31248688.37
7/16/2019,10344.49931,18150.36,0.0,29678368.52
7/17/2019,10500.54656,16992.94,0.0,30115567.53
7/18/2019,10602.95251,16844.24,7182.16,30472885.52
7/19/2019,10153.22308,15701.87,6245.24,29190516.35
7/20/2019,9058.868022,12226.94,6072.48,26017068.96
7/21/2019,8709.784425,12388.44,0.0,24918693.24
7/22/2019,10580.6805,17180.44,2916.51,30334811.0
7/23/2019,10693.85205,17398.75,0.0,30552335.31
7/24/2019,10980.40468,16407.41,7190.9,31414937.78
7/25/2019,10182.91509,16281.42,6029.23,29245332.13
7/26/2019,9956.846962,14904.48,6458.74,28576150.78
7/27/2019,8649.637914,12505.58,4136.45,24833110.45
7/28/2019,8743.723179,11638.61,5793.57,25111972.97
7/29/2019,9778.125138,15172.23,0.0,27916547.27
7/30/2019,9158.399629,15799.72,0.0,26138072.54
7/31/2019,9907.328215,15802.31,0.0,28305236.71
8/1/2019,9836.62373,16246.54,5593.75,27660585.93
8/2/2019,9542.383081,14438.44,5707.88,27195791.78
8/3/2019,8478.443827,12838.66,5520.09,24239870.9
8/4/2019,8282.949058,11520.09,5335.23,23821761.49
8/5/2019,10139.97403,15654.43,5611.05,29061165.57
8/6/2019,9846.726608,15639.56,6606.06,28191178.28
8/7/2019,9805.112538,14805.43,5269.71,28121062.76
8/8/2019,9850.553823,15392.16,5672.22,28241537.81
8/9/2019,9533.96414,14312.2,5626.94,27381545.01
8/10/2019,8547.80079,12472.27,3452.6,21737057.41
8/11/2019,7947.472028,13241.06,5256.34,14027288.13
8/12/2019,8583.49137,12239.81,0.0,24428616.44
8/13/2019,8635.903743,11970.98,5501.85,24802315.55
8/14/2019,8227.411638,11211.64,5734.7,23604443.99
8/15/2019,8543.16467,11142.17,5951.41,24476166.78
8/16/2019,9653.480865,18637.7,5884.38,26325042.32
8/17/2019,9026.896303,12670.34,5729.67,25907192.39
8/18/2019,8585.367413,12046.72,5691.97,22304784.54
8/19/2019,10517.46949,17170.94,6184.23,30195654.91
8/20/2019,10241.67831,16444.08,6045.61,29291199.97
8/21/2019,9859.512336,16833.17,5363.33,28316519.43
8/22/2019,9657.605291,14556.93,6302.06,27746300.0
8/23/2019,9715.225037,16220.49,0.0,27639815.23
8/24/2019,8795.6411,12863.74,-1.49,24539838.67
8/25/2019,9087.722693,12807.03,5477.29,26018150.07
8/26/2019,10147.21309,16067.12,0.0,29092059.92
8/27/2019,10061.98584,16621.52,5838.16,28867837.38
8/28/2019,9983.457704,15906.15,0.0,28692457.44
8/29/2019,9194.869424,14207.31,4970.99,26324911.16
8/30/2019,9679.89864,16009.71,5889.7,27616750.82
8/31/2019,8890.739407,13102.25,5747.47,25329716.57
9/1/2019,8946.908277,12481.04,6565.81,25185546.8
9/2/2019,9805.620598,17008.6,5825.04,27730295.05
9/3/2019,10198.75198,16246.38,4999.29,29229623.18
9/4/2019,10290.3895,17147.71,5725.46,29409933.19
9/5/2019,10476.19891,17220.12,5950.97,29951452.67
9/6/2019,10702.72398,16938.96,5395.66,30620493.32
9/7/2019,9616.855028,14722.57,0.0,27600373.93
9/8/2019,9652.143826,13236.58,6482.11,27749913.5
9/9/2019,9645.244025,13431.2,6567.85,27701140.84
9/10/2019,8996.70558,12607.39,5854.31,25730577.96
9/11/2019,11154.93465,17468.89,7432.66,32003507.52
9/12/2019,11113.43609,16768.18,6260.91,31839994.4
9/13/2019,10412.24826,16728.42,4957.49,29893564.75
9/14/2019,9001.232234,12823.68,5724.56,25869541.44
9/15/2019,9068.770049,12599.44,5881.72,26027370.04
9/16/2019,10525.10125,17760.43,0.0,29891287.55
9/17/2019,10261.82189,15321.84,5709.23,29410381.53
9/18/2019,10061.4454,16648.36,0.0,28886409.75
9/19/2019,10993.6473,17546.05,6297.03,31474812.21
9/20/2019,11009.38856,17832.86,6307.55,31431804.33
9/21/2019,9483.251803,13359.44,5721.38,27197966.17
9/22/2019,9657.954287,13763.34,6347.4,27708670.85
9/23/2019,11141.2839,17644.26,5977.51,31986626.09
9/24/2019,10561.37418,17311.18,6132.82,30279459.77
9/25/2019,10476.94887,17897.57,5860.51,30026935.46
9/26/2019,10006.55407,16717.07,5631.94,28678783.96
9/27/2019,9565.215211,17183.06,5541.74,27165211.2
9/28/2019,9015.785368,13759.71,5414.45,25812193.51
9/29/2019,8934.194546,12778.51,5758.31,25667940.93
9/30/2019,10787.16531,17077.32,6266.9,30743421.12
10/1/2019,10654.1691,16209.3,5244.3,30577465.33
10/2/2019,10146.37384,16244.28,6948.49,29109946.55
10/3/2019,9614.793402,15518.98,0.0,27498309.13
10/4/2019,9727.222418,15053.89,5558.39,27878219.45
10/5/2019,8566.136309,13531.64,5523.3,24156504.39
10/6/2019,7802.214177,11589.97,4668.89,22361145.83
10/7/2019,10094.41781,15352.02,6729.03,28981073.54
10/8/2019,10655.09219,19198.61,6243.9,29365434.08
10/9/2019,10516.92424,16762.09,5877.08,30173055.65
10/10/2019,10215.6202,17192.78,6286.78,29329045.59
10/11/2019,10729.31806,17421.48,5552.59,21705410.44
10/12/2019,8651.876834,12520.03,6094.18,24372337.04
10/13/2019,8363.542259,11899.55,5692.35,23811004.81
10/14/2019,10148.06154,16564.51,6965.6,29013307.94
10/15/2019,9606.236329,15921.45,5142.59,27425804.72
10/16/2019,9764.581137,16481.28,6008.63,27907172.89
10/17/2019,10143.91907,17746.96,4926.85,28981176.78
10/18/2019,10614.24384,17195.49,4960.34,30399194.35
10/19/2019,9221.465246,12626.37,5340.48,26069082.25
10/20/2019,9570.894674,12355.27,1887.18,27478038.61
10/21/2019,10786.77234,17268.52,5235.76,30893315.97
10/22/2019,10099.19725,17327.74,4843.98,28833208.14
10/23/2019,10357.0543,17541.83,6076.3,28419756.99
